ID  	Xi  	Yi  	Xf  	Yf  	Time  	Length
27157  	191  	162  	191  	162  	2.91  	0
27157  	195  	161  	189  	150  	3.88  	3.2648
27157  	192  	162  	192  	137  	4.85  	4.9725
27157  	192  	159  	192  	153  	5.82  	1.1934
74465  	162  	173  	162  	173  	6.79  	0
74465  	162  	173  	156  	164  	7.76  	2.4009
74465  	156  	173  	148  	149  	8.73  	5.4783
74465  	158  	175  	157  	169  	9.7  	1.3923
74465  	159  	172  	157  	172  	10.67  	1.4747
57548  	127  	210  	127  	210  	1.94  	0
57548  	127  	210  	118  	205  	2.91  	2.4351
57548  	128  	209  	112  	200  	3.88  	4.623
57548  	128  	210  	103  	198  	4.85  	6.5894
57548  	124  	212  	117  	209  	5.82  	2.1538
57548  	124  	212  	121  	212  	6.79  	0.5967
57548  	125  	216  	125  	216  	7.76  	0
86122  	248  	315  	248  	315  	6.79  	0
86122  	248  	313  	250  	330  	7.76  	3.6626
86122  	250  	316  	251  	339  	8.73  	4.7736
86122  	248  	317  	253  	342  	9.7  	5.6175
86122  	249  	314  	253  	346  	10.67  	6.6943
86122  	249  	320  	252  	344  	11.64  	5.1373
86122  	248  	317  	250  	338  	12.61  	4.3417
86122  	250  	318  	251  	330  	13.58  	2.5857
86122  	249  	317  	251  	328  	14.55  	2.3527
86122  	251  	322  	251  	322  	15.52  	0
4525  	213  	306  	213  	306  	3.88  	0
4525  	213  	306  	205  	314  	4.85  	2.9494
4525  	212  	306  	205  	318  	5.82  	4.1086
4525  	214  	307  	210  	314  	6.79  	2.0714
4525  	213  	309  	213  	309  	7.76  	0
4900  	162  	290  	162  	290  	0.97  	0
4900  	162  	290  	162  	300  	1.94  	1.989
4900  	162  	296  	162  	296  	2.91  	0
28068  	182  	298  	182  	298  	4.85  	0
28068  	181  	299  	170  	315  	5.82  	4.5547
28068  	182  	303  	156  	331  	6.79  	9.1905
28068  	180  	306  	159  	327  	7.76  	7.5028
28068  	178  	306  	167  	322  	8.73  	4.6358
28068  	178  	304  	170  	317  	9.7  	3.9439
28068  	178  	306  	177  	311  	10.67  	1.1934
28068  	179  	307  	179  	307  	11.64  	0
99514  	300  	322  	300  	322  	2.91  	0
99514  	302  	324  	301  	330  	3.88  	1.2758
99514  	300  	330  	300  	343  	4.85  	2.5857
99514  	300  	333  	302  	344  	5.82  	2.4692
