ID  	Xi  	Yi  	Xf  	Yf  	Time  	Length
99220  	232  	259  	232  	259  	0  	0
99220  	229  	261  	206  	284  	1  	8.1008
99220  	228  	264  	197  	290  	2  	9.8531
99220  	232  	263  	194  	296  	3  	12.148
99220  	232  	266  	188  	301  	4  	13.3104
99220  	236  	265  	194  	306  	5  	13.4807
99220  	233  	270  	187  	311  	6  	14.9268
99220  	235  	270  	188  	312  	7  	15.4495
99220  	237  	270  	184  	314  	8  	17.4747
99220  	234  	270  	178  	322  	9  	19.5107
99220  	234  	272  	179  	320  	10  	17.6892
99220  	238  	272  	184  	316  	11  	17.8256
99220  	232  	273  	182  	318  	12  	15.8764
99220  	235  	274  	189  	314  	13  	15.639
99220  	233  	271  	198  	302  	14  	11.4962
99220  	236  	268  	202  	296  	15  	10.65
99220  	233  	270  	212  	296  	16  	8.6138
99220  	237  	270  	215  	291  	17  	7.1545
99220  	234  	270  	208  	296  	18  	9.459
99220  	240  	269  	216  	290  	19  	8.064
99220  	239  	270  	226  	281  	20  	4.5888
99220  	240  	273  	227  	280  	21  	3.745
99220  	238  	270  	234  	273  	22  	1.1593
99220  	238  	270  	238  	270  	23  	0
63749  	138  	120  	111  	130  	0  	6.6602
63749  	132  	131  	110  	137  	1  	5.2197
63749  	140  	136  	112  	137  	2  	6.2142
63749  	142  	135  	104  	136  	3  	8.7303
63749  	146  	138  	99  	141  	4  	11.3126
63749  	143  	138  	98  	140  	5  	9.455
63749  	149  	140  	104  	140  	6  	9.6296
63749  	149  	142  	102  	140  	7  	9.9109
63749  	148  	140  	110  	137  	8  	8.0384
63749  	154  	144  	148  	144  	9  	1.1934
31612  	277  	84  	277  	84  	4  	0
31612  	280  	84  	280  	74  	5  	4.2475
31612  	281  	83  	270  	50  	6  	8.4021
31612  	283  	82  	276  	43  	7  	8.5314
31612  	283  	80  	278  	34  	8  	10.59
31612  	284  	82  	278  	44  	9  	8.4021
31612  	285  	76  	280  	54  	10  	5.0208
31612  	285  	73  	280  	58  	11  	3.978
31612  	285  	68  	285  	68  	12  	0
44566  	246  	83  	244  	78  	5  	1.2758
44566  	246  	84  	238  	62  	6  	5.3136
44566  	247  	83  	244  	72  	7  	2.5516
44566  	250  	84  	247  	78  	8  	1.6736
44566  	249  	84  	246  	76  	9  	2.1879
44566  	252  	86  	252  	84  	10  	0.3978
44566  	251  	88  	251  	88  	11  	0
92977  	238  	88  	232  	78  	6  	2.8329
92977  	238  	89  	232  	72  	7  	4.3417
92977  	238  	86  	235  	59  	8  	6.2483
92977  	237  	83  	244  	44  	9  	9.7214
92977  	239  	88  	247  	42  	10  	10.7206
92977  	238  	86  	249  	43  	11  	10.0509
92977  	240  	90  	246  	45  	12  	10.59
92977  	238  	84  	246  	49  	13  	8.1677
92977  	241  	82  	246  	52  	14  	6.612
92977  	245  	85  	248  	58  	15  	5.8505
92977  	246  	84  	246  	64  	16  	4.4241
92977  	246  	83  	247  	76  	17  	1.5912
92977  	248  	88  	248  	83  	18  	0.9945
4735  	182  	272  	182  	272  	3  	0
4735  	185  	273  	161  	271  	4  	5.0549
4735  	190  	273  	158  	272  	5  	6.4472
4735  	192  	274  	151  	274  	6  	8.5527
4735  	192  	274  	142  	278  	7  	10.8699
4735  	199  	269  	139  	278  	8  	12.7177
4735  	200  	273  	147  	274  	9  	10.9054
4735  	193  	274  	157  	275  	10  	7.3593
4735  	200  	274  	171  	276  	11  	5.9329
4735  	196  	277  	181  	276  	12  	3.0659
4735  	200  	274  	197  	274  	13  	0.5967
4735  	201  	272  	198  	272  	14  	0.5967
67976  	168  	256  	168  	256  	1  	0
67976  	172  	256  	167  	274  	2  	4.3417
67976  	172  	263  	164  	283  	3  	4.8701
